"POBREZA","INTERNET","NIVEL_EDU","MAL_CRONICO","TIPO_EMPLEO","UBIGEO"
"0","0","3","1","0","010201"
"0","1","3","0","1","010201"
"0","1","4","0","0","010201"
"0","1","6","0","1","010201"
"0","0","3","1","0","010701"
"0","0","3","0","0","010701"
"0","0","3","1","0","010701"
"0","0","3","0","0","010701"
"0","0","3","0","0","010701"
"0","1","3","0","0","021801"
"0","1","4","0","0","021801"
"0","0","3","1","0","021801"
"0","1","5","1","0","021801"
"0","1","3","1","0","021801"
"0","0","3","1","1","021801"
"0","1","6","1","1","021809"
"0","1","6","1","0","021809"
"0","1","3","0","1","021809"
"0","1","6","0","0","021809"
"0","1","1","1","0","021809"
"0","0","3","1","0","021809"
"0","1","6","0","1","021809"
"0","1","3","0","0","021802"
"0","0","1","0","0","021802"
"0","1","4","0","1","021802"
"0","1","4","0","0","021802"
"0","1","4","1","0","021802"
"0","0","3","1","0","021802"
"1","1","3","0","0","021802"
"0","1","3","0","0","021802"
"0","1","4","1","0","020101"
"1","0","3","1","1","020101"
"1","0","3","1","0","020101"
"0","0","3","0","0","020101"
"1","0","3","0","0","020101"
"1","0","3","1","0","022008"
"1","0","3","0","0","022008"
"0","0","1","0","0","022008"
"0","0","3","0","0","022008"
"1","0","1","1","0","022008"
"0","0","1","1","0","022008"
"0","0","3","0","0","022008"
"0","1","4","0","1","021405"
"1","0","3","0","1","021405"
"0","0","1","1","0","021405"
"0","1","2","1","0","021405"
"0","0","1","1","0","021405"
"0","1","3","0","0","021405"
"0","1","4","0","1","021405"
"0","0","4","0","1","040109"
"0","0","4","0","1","040109"
"0","1","3","0","1","040109"
"0","1","6","1","1","040109"
"0","1","4","0","1","040109"
"0","1","4","1","1","040109"
"0","1","4","1","0","040129"
"0","1","5","0","0","040129"
"0","1","6","1","1","040129"
"1","0","5","1","0","040129"
"0","1","6","0","0","040129"
"0","1","4","0","0","040104"
"0","0","1","0","0","040104"
"0","1","4","0","1","040104"
"0","0","3","0","1","040104"
"0","1","1","0","1","040104"
"0","0","3","0","1","040520"
"0","1","4","0","0","040520"
"0","1","2","0","0","040520"
"0","1","3","0","0","040520"
"0","0","3","1","0","040505"
"0","0","3","1","0","040505"
"0","0","4","1","0","040505"
"1","0","4","0","0","040505"
"0","0","4","1","0","050611"
"1","0","4","0","0","050611"
"0","0","1","1","0","050611"
"1","0","1","0","0","050611"
"1","0","3","1","0","050611"
"0","0","1","1","0","050611"
"0","0","1","0","0","050611"
"1","0","1","1","0","060903"
"1","0","1","0","0","060903"
"1","1","1","0","0","060903"
"0","0","1","0","1","060903"
"1","0","1","1","0","060903"
"0","0","3","0","1","060903"
"0","0","3","0","0","060807"
"1","0","1","0","0","060807"
"0","0","6","0","0","060807"
"1","0","1","0","0","060807"
"1","0","3","1","0","060807"
"0","0","3","0","0","060807"
"1","1","2","0","1","070101"
